,region_name,region_id,week,date,inc,inc_w1,inc_w2,inclow,inclow_w1,inclow_w2,inctop,inctop_w1,inctop_w2,inc100,inc100_w1,inc100_w2,inc100low,inc100low_w1,inc100low_w2,inc100top,inc100top_w1,inc100top_w2,C6H6,C6H6_w1,C6H6_w2,CO,CO_w1,CO_w2,NO,NO_w1,NO_w2,NO2,NO2_w1,NO2_w2,NOXasNO2,NOXasNO2_w1,NOXasNO2_w2,O3,O3_w1,O3_w2,PM10,PM10_w1,PM10_w2,PM2p5,PM2p5_w1,PM2p5_w2,SO2,SO2_w1,SO2_w2,pmer,pmer_w1,pmer_w2,dirv,dirv_w1,dirv_w2,vitv,vitv_w1,vitv_w2,temp,temp_w1,temp_w2,hum,hum_w1,hum_w2,pst,pst_w1,pst_w2,r1,r1_w1,r1_w2,tempc,tempc_w1,tempc_w2
20,Nouvelle-Aquitaine,8,202104,2021-01-22,4996,4238.0,3547.0,3330,2828.0,2266.0,6662,5648.0,4828.0,82,69.0,58.0,55,46.0,37.0,109,92.0,79.0,,,,,,,10.3055,8.7126,15.9935,15.6428,16.7522,18.7385,31.3893,30.0733,43.2085,50.6924,42.3704,23.9696,16.2581,15.5389,22.9712,10.2722,11.1974,20.9436,3.9133,1.0943,1.1914,100875.15,102752.82,101659.88,191.73,228.8,106.05,4.73,4.03,3.4,279.7219,278.5133,274.0426,82.1107,87.5063,84.9741,99159.5625,101090.4375,100025.3036,0.2244,0.0841,0.0005,6.5719,5.3633,0.8926
21,Pays de la Loire,9,202104,2021-01-22,10819,5544.0,6036.0,7527,3258.0,3673.0,14111,7830.0,8399.0,279,143.0,156.0,194,84.0,95.0,364,202.0,217.0,0.6526,1.2141,1.5991,0.2876,0.3538,0.4243,3.7919,5.8136,10.8805,11.2086,13.3645,17.2867,16.9955,22.2541,33.9351,54.234,47.591,17.5305,16.4174,16.2408,26.7422,9.747,12.1244,23.9631,0.5473,0.507,0.3651,100497.14,102613.21,101843.39,205.0,254.29,86.96,4.73,3.57,2.82,279.8518,279.4839,274.4268,87.5179,88.8393,86.5893,100180.8929,102288.75,101514.6429,0.2554,0.0536,0.0018,6.7018,6.3339,1.2768
22,Auvergne-Rhône-Alpes,10,202104,2021-01-22,5347,6542.0,7109.0,3708,4587.0,4625.0,6986,8497.0,9593.0,65,80.0,87.0,45,56.0,57.0,85,104.0,117.0,0.5357,1.6058,2.9026,0.3206,0.4448,0.4368,11.2078,14.0875,11.2225,21.8282,24.807,22.0978,5.4546,8.6406,7.8343,47.4372,32.3437,25.0941,11.6951,17.2862,20.8561,8.5024,15.3715,18.8182,2.4389,3.0783,1.8732,101038.1,102399.32,101548.75,168.84,189.61,174.42,4.48,3.96,2.81,278.5844,275.6853,272.5018,75.125,80.8586,81.6563,96666.5179,97888.6161,97056.6518,0.082,0.0866,0.018,5.4344,2.5353,-0.6482
23,Grand Est,11,202104,2021-01-22,8415,7796.0,4042.0,5022,4914.0,2033.0,11808,10678.0,6051.0,149,138.0,71.0,89,87.0,35.0,209,189.0,107.0,0.3127,0.9911,0.8803,0.3813,0.3581,0.4125,5.8206,12.937,11.5594,16.4175,22.2008,19.5308,24.6852,41.586,37.0651,54.1471,32.8055,19.5942,10.365,15.4283,18.1348,6.1994,11.7526,14.3502,1.4939,1.7715,1.596,100655.32,102181.96,101752.18,195.64,199.54,160.71,4.87,3.61,2.28,277.8139,274.0493,273.9043,79.8071,90.8107,87.675,98275.9286,99731.3929,99313.0714,0.1182,0.197,0.007,4.6639,0.8993,0.7543
24,Normandie,12,202104,2021-01-22,2105,1577.0,976.0,1047,473.0,152.0,3163,2681.0,1800.0,62,46.0,29.0,31,14.0,5.0,93,78.0,53.0,0.4986,0.755,1.434,0.2148,0.274,0.3585,7.0062,12.2021,20.4032,15.7583,20.1483,25.4585,26.6785,38.8977,56.5629,57.2158,45.0994,19.2253,12.1393,16.2719,22.2293,6.9953,13.0846,19.7842,2.3513,1.5517,2.1272,100214.67,102279.64,101943.13,214.05,235.67,141.52,6.09,5.78,3.25,278.8781,279.3438,275.2196,86.1533,87.9911,87.3527,99062.2024,101123.9732,100773.7054,0.1604,0.0854,0.0781,5.7281,6.1938,2.0696
25,Bourgogne-Franche-Comté,13,202104,2021-01-22,2173,2077.0,2386.0,980,891.0,847.0,3366,3263.0,3925.0,75,72.0,83.0,34,31.0,30.0,116,113.0,136.0,,,,,,,6.8604,6.3668,7.165,16.4519,16.3398,17.7859,26.961,26.0949,28.7578,51.7942,38.6655,23.9324,11.2358,12.0219,18.5146,8.3091,10.454,15.9422,2.4029,1.9907,1.9472,100844.64,102286.61,101670.0,182.5,221.25,162.32,4.87,3.69,3.01,277.7982,274.8625,273.5768,84.4464,88.6786,83.5893,98083.9286,99456.4286,98843.3929,0.1018,0.0982,0.0036,4.6482,1.7125,0.4268
26,Provence-Alpes-Côte d'Azur,1,202105,2021-01-29,7114,9109.0,6049.0,4548,5645.0,3153.0,9680,12573.0,8945.0,139,178.0,118.0,89,110.0,62.0,189,246.0,174.0,3.3602,1.256,1.5941,0.3791,0.358,0.3895,12.7587,12.3278,13.0644,22.3796,21.4338,20.6274,41.9757,40.3694,40.6926,50.6834,54.2405,44.3517,14.9094,17.6119,17.9826,8.4,9.5751,12.795,2.2953,1.9927,2.414,100943.3,101094.91,101744.46,231.88,209.11,231.24,4.09,4.84,5.59,279.869,279.6369,277.2095,69.0952,72.4821,70.4464,97362.4405,97485.6548,98113.3929,0.0804,0.1565,0.0,6.719,6.4869,4.0595
27,Île-de-France,2,202105,2021-01-29,15042,18757.0,13522.0,9890,12952.0,9368.0,20194,24562.0,17676.0,122,152.0,110.0,80,105.0,76.0,164,199.0,144.0,,,,0.412,0.3764,0.4394,19.0896,18.2484,23.8109,29.4789,29.6686,32.6228,58.8244,57.7166,69.2218,45.6632,49.2457,35.2102,14.9116,15.3788,19.6603,8.788,8.2521,14.6566,0.9663,1.1344,1.114,100767.5,100442.86,102236.55,229.46,212.68,232.36,4.25,4.75,4.31,280.1196,278.5643,277.5991,87.0893,83.2679,87.5455,99673.2143,99344.6429,101115.4545,0.2196,0.1464,0.063,6.9696,5.4143,4.4491
28,Centre-Val de Loire,3,202105,2021-01-29,3162,4052.0,2333.0,1960,2541.0,1221.0,4364,5563.0,3445.0,120,154.0,89.0,74,97.0,47.0,166,211.0,131.0,,,,0.13,0.2953,0.2896,8.0668,7.5294,8.8666,13.2539,13.1643,15.1976,25.6234,24.5574,28.6156,51.1523,56.5099,45.5078,11.4166,10.8727,13.54,7.6892,7.126,10.8127,,,,101000.0,100655.63,102459.91,230.89,203.39,252.59,4.26,4.42,3.84,280.4304,278.7223,277.8205,89.6875,83.5268,89.2054,99313.9286,98964.0179,100732.2321,0.1125,0.2571,0.0857,7.2804,5.5723,4.6705
29,Bretagne,4,202105,2021-01-29,3655,3066.0,2560.0,2184,1607.0,1346.0,5126,4525.0,3774.0,107,90.0,75.0,64,47.0,40.0,150,133.0,110.0,,,,,,,7.3651,5.915,9.2824,14.0517,14.8545,17.029,25.9302,24.5601,31.8228,55.2293,58.0211,51.9078,14.7584,15.155,14.452,8.757,8.703,9.3156,,,,100763.93,100274.24,102571.52,215.36,221.16,259.38,6.39,6.37,5.25,282.4982,280.6688,281.4317,89.8259,84.8304,84.9598,100052.1875,99560.1786,101843.5268,0.1908,0.2106,0.0238,9.3482,7.5188,8.2817
